object_type,FG_qid,FG_Label
barrel,Q512054,Clay barrel
block,Q512055,Clay block
brick,Q512056,Clay brick
bulla,Q512057,Clay bulla
cone,Q512058,Clay cone
cylinder,Q512059,Clay cylinder
docket,Q512060,Clay docket
envelope,Q512061,Clay envelope
lentil,Q512062,Clay lentil tablet
prism,Q512063,Clay prism
prismatic cylinder,Q512064,Clay prismatic cylinder
seal,Q512065,seal
sealing,Q512066,Clay sealing
tablet,Q512006,Clay tablet
tag,Q512067,Clay tag
vase,Q512068,Clay vase
vessel,Q512069,Clay vessel
other,,
other (see object remarks),,
seal (not impression),Q512065,seal
stamp seal,Q512065,seal
