Factgrid-Q,CDLI_id,CDLI_sequence,cdli_period,ORACC_period,Len,FG_seq,archaeological and historical time perio,,,,,,,CDLI_URL,Wikidata_URI,middle_begin,middle_end,Wikipedia_en,Wikipedia_de,,Period-o,high_earliest,high_latest,mid-low_earliest,mid-low_latest,low_earliest,low_latest,CDLI_instances,Oracc_num1,ORACC_uncertain,Oracc_num2,ORACC_alt,Oracc_num3,ORACC_alt_uncert,Oracc_num4
qid,,,,ORACC_period,,P499,Den,P2,P49,P50,P267,P131,P850,P236,,,,,,,,,,,,,,,Oracc_num1,ORACC_uncertain,Oracc_num2,ORACC_alt,Oracc_num3,ORACC_alt_uncert,Oracc_num4
Q512118,1,1,Pre-Writing (ca. 8500-3500 BC),Pre-Writing,Pre-Writing Period,1,archaeological and historical time period of the earliest civilization in Mesopotamia (ca 8500–3500 BC),Q249725,-8500-00-00T00:00:00Z/7,-3500-00-00T00:00:00Z/7,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/1,Q114877825,8500,3500,,,,http://n2t.net/ark:/99152/p07ffbf,8556,3556,8492,3492,8436,3436,219,1,Pre-Writing ?,2,,,,
Q512131,2,2,Uruk V (ca. 3500-3350 BC),Uruk V,Uruk V Period,2,archaeological and historical time period of the Sumerian civilization in Mesopotamia (ca 3500–3350 BC),Q249725,-3500-00-00T00:00:00Z/7,-3350-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/2,Q114877817,3500,3350,,https://de.wikipedia.org/wiki/Uruk-Zeit,,http://n2t.net/ark:/99152/p07ffbf,3556,3406,3492,3342,3436,3286,194,5,Uruk V ?,6,,,,
Q512132,3,3,Uruk IV (ca. 3350-3200 BC),Uruk IV,Uruk IV Period,3,archaeological and historical time period of the Sumerian civilization in Mesopotamia (ca 3350–3200 BC),Q249725,-3300-00-00T00:00:00Z/7,-3200-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/3,Q114877809,3300,3200,,https://de.wikipedia.org/wiki/Uruk-Zeit,,http://n2t.net/ark:/99152/p07ffbf,3356,3256,3292,3192,3236,3136,1848,7,Uruk IV ?,8,,,,
Q512133,30,4,Egyptian 0 (ca. 3300-3000 BC),Egyptian 0,Early Dynastic Period of Egypt,4,archaeological and historical time period of ancient Egyptian history,Q249725,-3300-00-00T00:00:00Z/7,-3000-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/30,Q187979,3300,3000,,,,http://n2t.net/ark:/99152/p07ffbf,3356,3056,3292,2992,3236,2936,186,3,Egyptian 0 ?,4,,,,
Q512134,4,5,Uruk III (ca. 3200-3000 BC),Uruk III,Uruk III Period,5,archaeological and historical time period of the Sumerian civilization in Mesopotamia(ca 3200–3000 BC),Q249725,-3200-00-00T00:00:00Z/7,-3000-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/4,Q114877803,3200,3000,,https://de.wikipedia.org/wiki/Uruk-Zeit,,http://n2t.net/ark:/99152/p07ffbf,3256,3056,3192,2992,3136,2936,4899,9,Uruk III ?,10,,,,
Q512135,5,6,Proto-Elamite (ca. 3100-2900 BC),Proto-Elamite,Proto-Elamite Period,6,pre-Iranian civilization from ca. 3400 BCE to 2500 BC,Q249725,-3100-00-00T00:00:00Z/7,-2900-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/5,Q1196237,3100,2900,https://en.wikipedia.org/wiki/Proto-Elamite,,,http://n2t.net/ark:/99152/p07ffbf,3156,2956,3092,2892,3036,2836,1729,13,Proto-Elamite ?,14,,,,
Q512136,,,Early Dynastic Period,Early Dynastic,Early Dynastic Period,7,archaeological and historical time period of early Mesopotamia,Q249725,-2900-00-00T00:00:00Z/7,-2340-00-00T00:00:00Z/9,Q451094,Q389597,,,Q716742,2900,2340,,https://de.wikipedia.org/wiki/Fr%C3%BChdynastische_Zeit_(Mesopotamien),,,2956,2396,2892,2332,2836,2276,0,31,Early Dynastic ?,32,,,,
Q512137,,,ED I,ED I,Early Dynastic I Period,8,archaeological and historical time period of the Sumerian civilization in Mesopotamia (ca 2900–2700 BCE),Q249725,-2900-00-00T00:00:00Z/7,-2700-00-00T00:00:00Z/9,Q451094,Q389597,,,Q99299898,2900,2700,,https://de.wikipedia.org/wiki/Fr%C3%BChdynastische_Zeit_(Mesopotamien),,,2956,2756,2892,2692,2836,2636,0,17,ED I ?,18,,,,
Q512137,6,7,ED I-II (ca. 2900-2700 BC),ED I-II,Early Dynastic I-II Period,,archaeological and historical time period of the Sumerian civilization in Mesopotamia (ca 2900–2700 BCE),Q249725,-2900-00-00T00:00:00Z/7,-2700-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/6,Q99299898,2900,2700,https://en.wikipedia.org/wiki/Early_Dynastic_Period_(Mesopotamia),https://de.wikipedia.org/wiki/Fr%C3%BChdynastische_Zeit_(Mesopotamien),,http://n2t.net/ark:/99152/p07ffbf,2956,2756,2892,2692,2836,2636,1201,19,ED I-II ?,20,,,,
Q512139,,,ED II,ED II,Early Dynastic II Period,9,archaeological and historical time period of the Sumerian civilization in Mesopotamia (ca 2750–2600 BCE),Q249725,-2750-00-00T00:00:00Z/7,-2600-00-00T00:00:00Z/9,Q451094,Q389597,,,Q99299906,2750,2600,https://en.wikipedia.org/wiki/Early_Dynastic_Period_(Mesopotamia),,,,2806,2656,2742,2592,2686,2536,0,21,ED II ?,22,,,,
Q512140,7,8,ED IIIa (ca. 2600-2500 BC),ED IIIa,Early Dynastic IIIa Period,10,archaeological and historical time period in Mesopotamia from 2600 to 2500 BCE,Q249725,-2600-00-00T00:00:00Z/7,-2500-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/7,Q110209550,2600,2500,https://en.wikipedia.org/wiki/Early_Dynastic_Period_(Mesopotamia),https://de.wikipedia.org/wiki/Fr%C3%BChdynastische_Zeit_(Mesopotamien),,http://n2t.net/ark:/99152/p07ffbf,2656,2556,2592,2492,2536,2436,1901,23,ED IIIa ?,24,Early Dynastic IIIa,27,Early Dynastic IIIa ?,28
Q512141,11,12,Old Elamite (c. 2600–1500 BC),Old Elamite,Old Elamite Period,11,archaeological and historical time period of the Elamite civilisation (ca 2700–1500 BCE),Q249725,-2600-00-00T00:00:00Z/7,-1500-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/11,Q29297301,2600,1500,,,,http://n2t.net/ark:/99152/p07ffbf,2656,1556,2592,1492,2536,1436,1,39,Old Elamite ?,40,,,,
Q512142,8,9,ED IIIb (ca. 2500-2340 BC),ED IIIb,Early Dynastic IIIb Period,12,archaeological and historical time period in Mesopotamia (ca. 2500–2340 BCE),Q249725,-2500-00-00T00:00:00Z/7,-2340-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/8,Q110209565,2500,2340,https://en.wikipedia.org/wiki/Early_Dynastic_Period_(Mesopotamia),https://de.wikipedia.org/wiki/Fr%C3%BChdynastische_Zeit_(Mesopotamien),,http://n2t.net/ark:/99152/p07ffbf,2556,2396,2492,2332,2436,2276,5090,25,ED IIIb ?,26,Early Dynastic IIIb,29,Early Dynastic IIIb ?,30
Q512143,9,10,Ebla (ca. 2350-2250 BC),Ebla,Ebla Period,13,archaeological and historical time period of the Eblaite culture (ca 2300–2250 BCE),Q249725,-2350-00-00T00:00:00Z/7,-2250-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/9,Q114867907,2350,2250,,,,http://n2t.net/ark:/99152/p07ffbf,2406,2306,2342,2242,2286,2186,7112,35,Ebla ?,36,,,,
Q512144,10,11,Old Akkadian (ca. 2340-2200 BC),Old Akkadian,Old Akkadian Period,14,archaeological and historical time period in Mesopotamia (ca. 2350-2200 BCE),Q249725,-2340-00-00T00:00:00Z/7,-2200-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/10,Q419594,2340,2200,,,,http://n2t.net/ark:/99152/p07ffbf,2396,2256,2332,2192,2276,2136,10000+,37,Old Akkadian ?,38,,,,
Q512145,12,13,Linear Elamite (ca. 2200 BC),Linear Elamite,Linear Elamite Period,15,historical time period of the Elamite civilization (ca 2200 BCE),Q249725,-2200-00-00T00:00:00Z/7,-2200-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/12,Q114868885,2200,2200,,,,http://n2t.net/ark:/99152/p07ffbf,2256,2256,2192,2192,2136,2136,41,15,Linear Elamite ?,16,,,,
Q512146,13,14,Lagash II (ca. 2200-2100 BC),Lagash II,Lagash II Period,16,archaeological and historical time period of the Sumerian civilization in Mesopotamia (ca 2200–2100 BCE),Q249725,-2200-00-00T00:00:00Z/7,-2100-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/13,Q114868851,2200,2100,,,,http://n2t.net/ark:/99152/p07ffbf,2256,2156,2192,2092,2136,2036,4664,43,Lagash II ?,44,Lagaš II,45,Lagaš II ?,46
Q512147,14,15,Harappan (ca. 2200-1900 BC),Harappan,Harappan Period,17,archaeological and historical time period of the Harappan civilization (ca 2200–1900 BC),Q249725,-2200-00-00T00:00:00Z/7,-1900-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/14,Q114866998,2200,1900,,,,http://n2t.net/ark:/99152/p07ffbf,2256,1956,2192,1892,2136,1836,2,41,Harappan ?,42,,,,
Q512148,15,16,Ur III (ca. 2100-2000 BC),Ur III,Ur III Period,18,archaeological and historical time period of the Sumerian civilization in Mesopotamia (ca 2100–2000 BC),Q249725,-2100-00-00T00:00:00Z/7,-2000-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/15,Q109384761,2100,2000,,https://de.wikipedia.org/wiki/Ur-III-Zeit,,http://n2t.net/ark:/99152/p07ffbf,2156,2056,2092,1992,2036,1936,10000+,47,Ur III ?,48,,,,
Q512149,,,Isin-Larsa period,,Isin-Larsa Period,19,archaeological and historical time period in Mesopotamia (ca. 2000-1800 BCE),Q249725,-2000-00-00T00:00:00Z/7,-1800-00-00T00:00:00Z/9,Q451094,Q389597,,,Q13577667,2000,1800,,,,,,,,,,,,,,,,,,
Q512150,16,17,Early Old Babylonian (ca. 2000-1900 BC),Early Old Babylonian,Early Old Babylonian Period,20,archaeological and historical time period of the Babylonian civilization in Mesopotamia (ca 2000–1900 BCE),Q249725,-2000-00-00T00:00:00Z/7,-1900-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/16,Q114867465,2000,1900,,,,http://n2t.net/ark:/99152/p07ffbf,2056,1956,1992,1892,1936,1836,8625,51,Early Old Babylonian ?,52,,,,
Q512151,17,18,Old Assyrian (ca. 1950-1850 BC),Old Assyrian,Old Assyrian Period,21,archaeological and historical time period of the Assyrian civilization in Mesopotamia and Anatolia (ca 2000–1750 BCE),Q249725,-1950-00-00T00:00:00Z/7,-1720-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/17,Q15782728,1950,1720,,https://de.wikipedia.org/wiki/Altassyrische_Zeit,,http://n2t.net/ark:/99152/p07ffbf,2006,1776,1942,1712,1886,1656,6607,49,Old Assyrian ?,50,,,,
Q512152,18,19,Old Babylonian (ca. 1900-1600 BC),Old Babylonian,Old Babylonian Period,22,archaeological and historical time period of the Babylonian civilization in Mesopotamia (ca 1900–1600 BC),Q249725,-1900-00-00T00:00:00Z/7,-1600-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/18,Q114877765,1900,1600,,https://de.wikipedia.org/wiki/Altbabylonische_Zeit,,http://n2t.net/ark:/99152/p07ffbf,1956,1656,1892,1592,1836,1536,10000+,53,Old Babylonian ?,54,,,,
Q512153,19,20,Middle Hittite (ca. 1500-1100 BC),Middle Hittite,Middle Hittite Period,23,archaeological and historical time period of the Hittite civilization in Anatolia (ca 1500-1100 BCE),Q249725,-1500-00-00T00:00:00Z/7,-1100-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/19,Q114869008,1500,1100,,,,http://n2t.net/ark:/99152/p07ffbf,1556,1156,1492,1092,1436,1036,10000+,61,Middle Hittite ?,62,,,,
Q512154,20,21,Middle Babylonian (ca. 1400-1100 BC),Middle Babylonian,Middle Babylonian Period,24,archaeological and historical time period of the Babylonian civilization in Mesopotamia (ca 1400–1100 BCE),Q249725,-1400-00-00T00:00:00Z/7,-1100-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/20,Q16530848,1400,1100,,,,http://n2t.net/ark:/99152/p07ffbf,1456,1156,1392,1092,1336,1036,10000+,57,Middle Babylonian ?,58,,,,
Q512155,21,22,Middle Assyrian (ca. 1400-1000 BC),Middle Assyrian,Middle Assyrian Period,25,archaeological and historical time period of the Assyrian civilization in Mesopotamia and Anatolia (ca 1400–1000 BCE),Q249725,-1400-00-00T00:00:00Z/7,-1000-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/21,Q114868919,1400,1000,,https://de.wikipedia.org/wiki/Mittelassyrische_Zeit,,http://n2t.net/ark:/99152/p07ffbf,1456,1056,1392,992,1336,936,4572,55,Middle Assyrian ?,56,,,,
Q512156,22,23,Middle Elamite (ca. 1300-1000 BC),Middle Elamite,Middle Elamite Period,26,archaeological and historical time period of the Elamite civilization (ca 1300–1000 BCE),Q249725,-1300-00-00T00:00:00Z/7,-1000-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/22,Q29297151,1300,1000,,,,http://n2t.net/ark:/99152/p07ffbf,1356,1056,1292,992,1236,936,841,59,Middle Elamite ?,60,,,,
Q512157,36,24,Early Neo-Babylonian (ca. 1150-730 BC),,Early Neo-Babylonian Period,27,archaeological and historical time period of the Babylonian civilization in Mesopotamia (ca 1150–730 BCE),Q249725,-1150-00-00T00:00:00Z/7,-730-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/36,Q114867342,1150,730,,,,http://n2t.net/ark:/99152/p07ffbf,1206,786,1142,722,1086,666,231,,,,,,,
Q512158,23,25,Neo-Assyrian (ca. 911-612 BC),Neo-Assyrian,Neo-Assyrian Period,28,archaeological and historical time period of the Assyrian civilization in Mesopotamia and Anatolia (ca 911–612 BCE),Q249725,-911-00-00T00:00:00Z/9,-612-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/23,Q114869081,911,612,,https://de.wikipedia.org/wiki/Assyrisches_Reich,,http://n2t.net/ark:/99152/p07ffbf,967,668,903,604,847,548,10000+,65,Neo-Assyrian ?,66,,,,
Q512159,,,Late Babylonian,Late Babylonian,Late Babylonian Period,29,archaeological and historical time period of the Babylonian civilization in Mesopotamia,Q249725,-911-00-00T00:00:00Z/9,-612-00-00T00:00:00Z/9,Q451094,Q389597,,,Q22809362,911,612,,https://de.wikipedia.org/wiki/Sp%C3%A4tbabylonische_Zeit,,,967,668,903,604,847,548,0,71,Late Babylonian ?,72,,,,
Q512160,24,27,Neo-Elamite (ca. 770-539 BC),Neo-Elamite,Neo-Elamite Period,30,"archaeological and historical time period of the later Elamite civilization, from ca. 770 BCE to its conquest by the Achaemenid Empire around 539 BCE",Q249725,-770-00-00T00:00:00Z/8,-539-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/24,Q29297050,770,539,,,,http://n2t.net/ark:/99152/p07ffbf,826,595,762,531,706,475,1216,77,Neo-Elamite ?,78,,,,
Q512161,35,28,Neo-Babylonian (ca. 626-539 BC),Neo-Babylonian,Neo-Babylonian Period,31,archaeological and historical time period of the Babylonian civilization in Mesopotamia (ca 626–539 BCE),Q249725,-626-00-00T00:00:00Z/9,-539-00-00T00:00:00Z/9,Q451094,Q389597,Q393513,https://cdli.mpiwg-berlin.mpg.de/periods/35,Q114869307,626,539,,https://de.wikipedia.org/wiki/Neubabylonisches_Reich,,http://n2t.net/ark:/99152/p07ffbf,682,595,618,531,562,475,10000+,67,Neo-Babylonian ?,68,,,,
