factgrid_id,collection,wikidata_id,collection_name,collection_name_native,name_native_iso,collection_url,wiki_url_eng,wiki_url_native,collection_id,cdli_id,collection_holding,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,osm_id,osm_type,geonames_id,notes,url_native_iso,to_be_deleted,cdli_url
,Destroyed,,Destroyed,,,,,,1,0,,,,,0,,,,,,,,,0,
,Unlocated,,Unlocated,,,,,,2,0,,,,,0,,,,,,,,,0,
,"Superintendence of Cultural Heritage, Malta; Malta",,"Superintendence of Cultural Heritage, Malta",Sovrintendenza tal-patrimonju kulturali,mlt,https://culture.gov.mt/en/culturalheritage,,,3,632,Storage,Extant,Agency,Public,0,MLT,MLT.5_1,MLT.5.13_1,,,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/632
Q510658,"Vorderasiatisches Museum, Berlin, Germany",Q542084,Vorderasiatisches Museum,Vorderasiatisches Museum,deu,https://www.smb.museum/museen-einrichtungen/vorderasiatisches-museum/home,https://en.wikipedia.org/wiki/Vorderasiatisches_Museum_Berlin,https://de.wikipedia.org/wiki/Vorderasiatisches_Museum_Berlin,4,215,Museum,Extant,Agency,Public,1,DEU,DEU.3_1,DEU.3.1_1,,,7911193,,deu,0,https://cdli.mpiwg-berlin.mpg.de/collections/215
,"Archaeological Museum of Thebes, Greece",Q637075,Archaeological Museum of Thebe,Αρχαιολογικό Μουσείο Θηβών,ell,https://www.mthv.gr/el,https://en.wikipedia.org/wiki/Archaeological_Museum_of_Thebes,https://el.wikipedia.org/wiki/Αρχαιολογικό_Μουσείο_Θηβών,5,0,Museum,Extant,Agency,Public,1,GRC,GRC.8_1,GRC.8.1_1,,,11220779,,ell,0,
,"Cairo Museum, Cairo, Egypt",Q201219,Museum of Egyptian Antiquities,المتحف المصري,ara,https://egymonuments.gov.eg/ar/subportals-group/the-egyptian-museum,https://en.wikipedia.org/wiki/Egyptian_Museum,https://ar.wikipedia.org/wiki/المتحف_المصري,6,399,Museum,Extant,Agency,Public,1,EGY,EGY.11_1,EGY.11.36_1,,,7922588,,ara,0,https://cdli.mpiwg-berlin.mpg.de/collections/399
Q511925,"Louvre Museum, Paris, France",Q19675,Louvre,Louvre,fra,https://www.louvre.fr,https://en.wikipedia.org/wiki/Louvre,https://ar.wikipedia.org/wiki/متحف_اللوفر,7,647,Museum,Extant,Agency,Public,1,FRA,FRA.8_1,FRA.8.3_1,,,2997319,,fra,0,https://cdli.mpiwg-berlin.mpg.de/collections/647
Q102010,"British Museum, London, UK",Q6373,British Museum,British Museum,eng,https://www.britishmuseum.org,https://en.wikipedia.org/wiki/British_Museum,https://en.wikipedia.org/wiki/British_Museum,8,868,Museum,Extant,Agency,Public,1,GBR,GBR.1_1,GBR.1.36_1,,,6697862,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/868
Q511934,"Ashmolean Museum, Oxford, UK",Q636400,Ashmolean Museum,Ashmolean Museum,eng,https://www.ashmolean.org,https://en.wikipedia.org/wiki/Ashmolean_Museum,https://en.wikipedia.org/wiki/Ashmolean_Museum,11,485,Museum,Extant,Educational institution,Uncertain,1,GBR,GBR.1_1,GBR.1.69_1,,,11217940,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/485
Q512004,"Metropolitan Museum of Art, New York, New York, USA",Q160236,Metropolitan Museum of Art,Metropolitan Museum of Art,eng,https://www.metmuseum.org,https://en.wikipedia.org/wiki/Metropolitan_Museum_of_Art,https://en.wikipedia.org/wiki/Metropolitan_Museum_of_Art,12,506,Museum,Extant,Foundation,Group,1,USA,USA.33_1,USA.33.32_1,,,5126698,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/506
Q511904,"Oriental Institute, University of Chicago, Chicago, Illinois, USA",Q1276053,"Oriental Institute, University of Chicago","Oriental Institute, University of Chicago",eng,https://oi.uchicago.edu,https://en.wikipedia.org/wiki/Oriental_Institute_(Chicago),https://en.wikipedia.org/wiki/Oriental_Institute_(Chicago),15,994,Collection,Extant,Educational institution,Group,1,USA,USA.14_1,USA.14.16_1,,,4904911,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/994
