,id_text,ruler,year,month,day,date_of_origin,date,long_date,date_gen,day,long_date_gen,month,year,eponym,regnal_dates,ancient_year,date_bce,months_recorded,date_comments,proposed_date,eponym_title,astron_date,Reg_year,Reg_no,dynastic_seat,ancient_date
2,p522594,Ashurbanipal,650,VII,1,assurbanipal.limu bel-harran-shaddu’a.07.01,650-VII-01,"Tašrītu 1[st], eponymy of Bēl-Harrān-šadd[û’a]",650-VII-01,1,"Tašrītu 1st, eponymy of Bēl-Harrān-šaddû’a",VII,650,Bēl-Harrān-šaddû’a,668–ca. 631 BC,,,,,,,,,,,
3,p522595,Ashurbanipal,650,VII,1,assurbanipal.limu bel-harran-shaddu’a.07.01,650-VII-01,"Tašrītu 1st, eponymy of Bēl-Harrān-šadd[û’a]",650-VII-01,1,"Tašrītu 1st, eponymy of Bēl-Harrān-šaddû’a",VII,650,Bēl-Harrān-šaddû’a,668–ca. 631 BC,,,,,,,,,,,
5,p522597,Ashurbanipal,640*,IX,,assurbanipal.limu shamash-metu-uballit.09.00,640*-IX,"Kislīmu, eponymy after that of Aššur-garu’a-[nere]",640*-IX,,"Kislīmu, eponymy of Šarru-mētu-uballiṭ",IX,640*,Šarru-mētu-uballiṭ,668–ca. 631 BC,,,,,,,,,,,
12,p522604,Ashurbanipal,643*,II,21,assurbanipal.limu assur-sharru-usur.02.21,643*-II-21,"Ayyāru 21st, eponymy of Šamaš-da[’’in]anni",643*-II-21,21,"Ayyāru 21st, eponymy of Aššur-šarru-uṣur",II,643*,Aššur-šarru-uṣur,668–ca. 631 BC,,,,,,,,,,,
13,p522605,Ashurbanipal,658,XI,7,assurbanipal.limu sha-nabu-shu.11.07,658-XI-07,"Šabāṭu 7th, eponymy of Ša-Nabû-šû",658-XI-07,7,"Šabāṭu 7th, eponymy of Ša-Nabû-šû",XI,658,Ša-Nabû-šû,668–ca. 631 BC,,,,,,,,,,,
14,p522606,Sennacherib,683,X,1,sennacherib.limu mannu-ki-adad.10.01,683-X-01,"Kanūnu 1st, eponymy of Mannu-kī-Adad",683-X-01,1,"Kanūnu 1st, eponymy of Mannu-kī-Adad",X,683,Mannu-kī-Adad,704–681 BC,,,,,,,,,,,
18,p522610,Ashurbanipal,649,III,2,assurbanipal.limu ahu-ila’i.03.02,649-III-02,"Simānu 2nd, eponymy after that of Bēl-Harrān-šaddû’a",649-III-02,2,"Simānu 2nd, eponymy of Ahu-ilā’ī",III,649,Ahu-ilā’ī,668–ca. 631 BC,,,,,,,,,,,
819,p223391,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
820,p250657,Esarhaddon,684,III,11,esarhaddon.limu manzerne.03.11,684-III-11,"Simānu 11th, [eponymy of] Manzarnia, governor of Kunali[a]",684-III-11,11,"Simānu 11th, eponymy of Manzernê",III,684,Manzernê,680–669 BC,,,,,,,,,,,
821,p250905,Sîn-šarru-iškun,621* or 619*,II,26,sin-sharru-ishkun.000.02.26,621*-II-26 or 619*-II-26,"Ayyāru 26th, eponymy of Bel-iqbi",621* or 619*-II-26,26,Ayyāru 26th,II,621* or 619*,,ca. 626–612 BC,,,,,,,,,,,
822,p254017,Ashurbanipal,632* or 631*,VII,19,assurbanipal.000.07.19,632*-VII-19 or 631*-VII-19,"Tašrītu 19th, eponymy of Adad-remanni",632* or 631*-VII-19,19,Tašrītu 19th,VII,632* or 631*,,668–ca. 631 BC,,,,,,,,,,,
