FG_seq,Wikidata_Q,Wikidata_link,cdli_ruler,cdli_count,NeedDisambig,CDLI URI,Alies (separated by bar | ),Description,Note,period_id,dynasty_id (P53),sequence,Replaces_(P1365),Replaced_by_(P1366),start_time_(P580),end_time_(P582),Wikidata2_link,Wikidata2_Q,Wikidata2_label,Wikidata3,Wikidata3_Label,Wikidata4,Wikidata4_Label,Follows (P155),Followed by (P156),Wikidata_Label,ruler,id,Wikidata_Label,Wikidata_Q,ruler,rulerLabel,birthdate,deathdate,replaces,replacesLabel,replacedBy,replacedByLabel,position,positionLabel,position2,positionLabel2,position3,positionLabel3,P21,determination method,https://www.wikidata.org/wiki/Property:P569,https://www.wikidata.org/wiki/Property:P570,https://www.wikidata.org/wiki/Property:P39,https://www.wikidata.org/wiki/Property:P580,https://www.wikidata.org/wiki/Property:P582,https://www.wikidata.org/wiki/Property:P1365,https://www.wikidata.org/wiki/Property:P1366,link address,epsd2_sortcode,epsd2_rulers,Wikipedia_reference,Wikidata_Q,Wikidata-link,P31,P103,P1412,titles,father,siblings,spouse,epsd2_sortcodes_json,RIME_seq_num,RIME_Volume,RIME_Series,RIME_Page,RIME_Ruler,RIME_Dynasty_count,RIME_Area,Wiki_dynasty,Wiki_periods,Wikidata_Label,Wikidata_Q,CDLI_URI,CDLI_label,x_CDLI,RIME_PDF_entry,Series_page
,Q166802,https://www.wikidata.org/wiki/Q166802,A-KALAM-du,1,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Akalamdug,A-KALAM-du,525,Akalamdug,Q166802,http://www.wikidata.org/entity/Q166802,Akalamdug,-2450-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/b2dcc671e548b4abc63efd068a169c76,,,,,,,,,,,Q6581097,,,,,,,,,,273,A-KALAM-du,,,,Q13649246,,,,,,,"A-KALAM-du: ""273"",",58,RIME 1,1.13.4,389,A-KALAM-du,1,UR,,,,Q166802,,A-KALAM-du,,A-KALAM-du E1.13.4 / 389,1.13.4 / 389
,Q277645,https://www.wikidata.org/wiki/Q277645,A'annepada,15,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Aanepada,A'annepada,63,Aanepada,Q277645,http://www.wikidata.org/entity/Q277645,Aanepada,-2600-01-01T00:00:00Z,-2500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q845747,Mesannepada,http://www.wikidata.org/entity/Q2393735,Meskiangnana,,,,,,,Q6581097,,,,,,,,,,115,A-Ane-pada,,Q277645,,Q13649246,,,,,,,"A-Ane-pada: ""115"",",60,RIME 1,1.13.6,395,A-Ane-pada,1,UR,,,,Q277645,,A'annepada,,A-Ane-pada E1.13.6 / 395,1.13.6 / 395
,,,A'anzu,1,,https://cdli.mpiwg-berlin.mpg.de/artifacts/418046,,,Cylinder seal in CDLI ,NULL,NULL,NULL,,,,,,,,,,,,,,,A'anzu,489,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,267,A-Anzu,,,,Q13649246,,,,,,,"A-Anzu: ""267"",",54,RIME 1,1.13.1,379,A-Anzu,1,UR,,,,,,A'anzu,,A-Anzu E1.13.1 / 379,1.13.1 / 379
,Q193290,https://www.wikidata.org/wiki/Q193290,Aassurnasirpal2,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashurnasirpal II,Aassurnasirpal2,422,Ashurnasirpal II,Q193290,http://www.wikidata.org/entity/Q193290,Ashurnasirpal II,-1000-01-01T00:00:00Z,-0853-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1778286,https://www.wikidata.org/wiki/Q1778286,Abi-eshuh,1,,https://cdli.mpiwg-berlin.mpg.de/artifacts/355774,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Abi-Eshuh,Abi-eshuh,93,Abi-Eshuh,Q1778286,http://www.wikidata.org/entity/Q1778286,Abi-Eshuh,-1800-01-01T00:00:00Z,-1700-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,247,Abi-ešuh,,,,Q13649246,,,,,,,"Abi-ešuh: ""247"",",204,RIME 4,4.3.8,404,Abi-esuh,1,BABYLON,,,,Q1778286,https://cdli.mpiwg-berlin.mpg.de/artifacts/355774,,,Abi-esuh E4.3.8 / 404,4.3.8 / 404
,,,Abi-maras,1,,https://cdli.mpiwg-berlin.mpg.de/artifacts/448270,,,None found; Cylinder seal in CDLI https://cdli.mpiwg-berlin.mpg.de/artifacts/448270,NULL,NULL,NULL,,,,,,,,,,,,,,,Abi-maras,108,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q321436,https://www.wikidata.org/wiki/Q321436,Abi-Sare,138,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Abisare,Abi-Sare,112,Abisare,Q321436,http://www.wikidata.org/entity/Q321436,Abisare,-2000-01-01T00:00:00Z,-1900-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q12097,king,,,,,Q6581097,,,,,,,,,,215,Abisare,,,,Q13649246,,,,,,,"Abisare: ""215"",",185,RIME 4,4.2.6,121,Abi-sarē,1,LARSA,,,,Q321436,,,,Abi-saré E4.2.6 / 121,4.2.6 / 121
,Q321436,https://www.wikidata.org/wiki/Q321436,Abisare,0,y,disambiguation needed,,,old / removed from CDLI,NULL,NULL,NULL,,,,,,,,,,,,,,Abisare,Abisare,267,Abisare,Q321436,http://www.wikidata.org/entity/Q321436,Abisare,-2000-01-01T00:00:00Z,-1900-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q12097,king,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q321436,https://www.wikidata.org/wiki/Q321436,Abisari,0,y,disambiguation needed,,,old / removed from CDLI,NULL,NULL,NULL,,,,,,,,,,,,,,Abisare,Abisari,219,Abisare,Q321436,http://www.wikidata.org/entity/Q321436,Abisare,-2000-01-01T00:00:00Z,-1900-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q12097,king,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Abzukidu,4,,https://cdli.mpiwg-berlin.mpg.de/artifacts/462199,,,none found unless the name can be wrriten differently,NULL,NULL,NULL,,,,,,,,,,,,,,,Abzukidu,516,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,93,Abzu-kidu,,,,Q13649246,,,,,,,"Abzu-kidu: ""93"",",46,RIME 1,1.11.3,355,Abzu-kidu,1,NIPPUR,,,,,https://cdli.mpiwg-berlin.mpg.de/artifacts/462199 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431190 | https://cdli.mpiwg-berlin.mpg.de/artifacts/222752 | https://cdli.mpiwg-berlin.mpg.de/artifacts/222751,Abzukidu,,Abzu-kidu E1.11.3 / 355,1.11.3 / 355
